chinese,chinese_tw,english,category,subcategory,notes
燃血丹,燃血丹,Blood Burning Pill,elixir,type,Temporary power boost
疗伤丹,療傷丹,Healing Pill,elixir,type,Restores HP
回春丹,回春丹,Rejuvenation Pill,elixir,type,Healing over time
练气破境丹,練氣破境丹,Qi Refinement Breakthrough Pill,elixir,named,Qi Refinement - Breakthrough
筑基破境丹,築基破境丹,Foundation Breakthrough Pill,elixir,named,Foundation - Breakthrough
金丹破境丹,金丹破境丹,Core Formation Breakthrough Pill,elixir,named,Core - Breakthrough
练气长生丹,練氣長生丹,Qi Refinement Longevity Pill,elixir,named,Qi Refinement - Lifespan
筑基长生丹,築基長生丹,Foundation Longevity Pill,elixir,named,Foundation - Lifespan
金丹长生丹,金丹長生丹,Core Formation Longevity Pill,elixir,named,Core - Lifespan
元婴长生丹,元嬰長生丹,Nascent Soul Longevity Pill,elixir,named,Nascent - Lifespan
练气燃血丹,練氣燃血丹,Qi Refinement Blood Burning Pill,elixir,named,Qi Refinement - Combat
筑基燃血丹,築基燃血丹,Foundation Blood Burning Pill,elixir,named,Foundation - Combat
金丹燃血丹,金丹燃血丹,Core Formation Blood Burning Pill,elixir,named,Core - Combat
元婴燃血丹,元嬰燃血丹,Nascent Soul Blood Burning Pill,elixir,named,Nascent - Combat
练气回春丹,練氣回春丹,Qi Refinement Rejuvenation Pill,elixir,named,Qi Refinement - Healing
筑基回春丹,築基回春丹,Foundation Rejuvenation Pill,elixir,named,Foundation - Healing
金丹回春丹,金丹回春丹,Core Formation Rejuvenation Pill,elixir,named,Core - Healing
元婴回春丹,元嬰回春丹,Nascent Soul Rejuvenation Pill,elixir,named,Nascent - Healing
灵石,靈石,Spirit Stone,item,,Currency
丹药,丹藥,Elixir,item,,Also: Pill - Medicine
法宝,法寶,Artifact,item,,Magical treasure
兵器,兵器,Weapon,item,,
功法,功法,Cultivation Technique,item,,Also: Art - Manual
辅助装备,輔助裝備,Auxiliary Equipment,item,,Accessories
吐纳,吐納,Respire,action,solo,Gain experience
突破,突破,Breakthrough,action,solo,Advance realm
疗伤,療傷,Self Heal,action,solo,Recover HP
采集,採集,Harvest,action,solo,Gather plants
狩猎,狩獵,Hunt,action,solo,Hunt animals
挖矿,挖礦,Mine,action,solo,Extract ore
炼丹,煉丹,Refine Elixir,action,solo,Craft pills
铸造,鑄造,Forge,action,solo,Craft equipment
温养兵器,溫養兵器,Nurture Weapon,action,solo,Increase proficiency
购买,購買,Buy,action,solo,Purchase items
出售,出售,Sell,action,solo,Sell items
消遣,消遣,Play,action,solo,Relax
御兽,御獸,Tame Beast,action,solo,Capture spirit beast
移动,移動,Move,action,solo,Travel
移动到区域,移動到區域,Move to Region,action,solo,Travel to location
移动到角色,移動到角色,Move to Character,action,solo,Travel to person
移动探索,移動探索,Explore,action,solo,Explore direction
离开区域,離開區域,Leave Region,action,solo,Depart area
远离角色,遠離角色,Move Away,action,solo,Distance from person
帮助凡人,幫助凡人,Aid Mortals,action,solo,Righteous action
搜刮凡人,搜刮凡人,Plunder Mortals,action,solo,Evil action
吞噬凡人,吞噬凡人,Devour Mortals,action,solo,Consume souls
攀谈,攀談,Converse,action,mutual,Chat
交谈,交談,Talk,action,mutual,Dialogue
切磋,切磋,Spar,action,mutual,Friendly combat
攻击,攻擊,Attack,action,mutual,Initiate combat
发起战斗,發起戰鬥,Initiate Battle,action,mutual,Start fight
暗杀,暗殺,Assassinate,action,mutual,Stealth kill
逃离,逃離,Escape,action,mutual,Flee combat
双修,雙修,Dual Cultivation,action,mutual,Partner cultivation
传道,傳道,Impart,action,mutual,Teach disciple
赠送,贈送,Gift,action,mutual,Give items
抢夺洞府,搶奪洞府,Seize Cave,action,mutual,Contest dwelling
驱赶,驅趕,Drive Away,action,mutual,Force to leave
接受,接受,Accept,action,feedback,
拒绝,拒絕,Reject,action,feedback,
让步,讓步,Yield,action,feedback,
试图远离,試圖遠離,Try to Distance,action,feedback,
试图离开区域,試圖離開區域,Try to Leave Area,action,feedback,
逃离,逃離,Flee,action,feedback,
战斗,戰鬥,Fight,action,feedback,
误入洞府,誤入洞府,Stumbled into Cave Dwelling,event,fortune,Equipment
巧捡神兵,巧撿神兵,Found Divine Weapon,event,fortune,Equipment
巧捡奇物,巧撿奇物,Found Treasure,event,fortune,Equipment
误入试炼,誤入試煉,Entered Trial Ground,event,fortune,Equipment
异象出世,異象出世,Witnessed Strange Phenomenon,event,fortune,Equipment
高人赠予,高人贈予,Gift from Expert,event,fortune,Equipment
高人指点,高人指點,Guidance from Expert,event,fortune,Technique
玄妙感悟,玄妙感悟,Mystical Insight,event,fortune,Technique
危难相救,危難相救,Rescued from Danger,event,fortune,Find Master
品行打动,品行打動,Impressed by Character,event,fortune,Find Master
展露天赋,展露天賦,Displayed Talent,event,fortune,Find Master
机缘巧合,機緣巧合,Fateful Coincidence,event,fortune,Find Master
通过考验,通過考驗,Passed Trial,event,fortune,Find Master
偶遇灵矿,偶遇靈礦,Found Spirit Mine,event,fortune,Spirit Stones
洞府遗财,洞府遺財,Cave Dwelling Treasure,event,fortune,Spirit Stones
击杀妖兽,擊殺妖獸,Slew Monster,event,fortune,Spirit Stones
交易获利,交易獲利,Profitable Trade,event,fortune,Spirit Stones
赌石得宝,賭石得寶,Won Stone Gambling,event,fortune,Spirit Stones
拾遗藏宝,拾遺藏寶,Found Hidden Treasure,event,fortune,Spirit Stones
顿悟玄机,頓悟玄機,Sudden Enlightenment,event,fortune,Cultivation
古碑感悟,古碑感悟,Insight from Ancient Stele,event,fortune,Cultivation
服食灵药,服食靈藥,Consumed Spirit Medicine,event,fortune,Cultivation
秘境吐纳,祕境吐納,Respired in Secret Realm,event,fortune,Cultivation
前辈灌顶,前輩灌頂,Empowerment from Senior,event,fortune,Cultivation
灵泉淬体,靈泉淬體,Tempered by Spirit Spring,event,fortune,Cultivation
传承记忆,傳承記憶,Inherited Memory,event,fortune,Cultivation
遭遇扒手,遭遇扒手,Encountered Pickpocket,event,misfortune,Loss - Spirit stones
误买假货,誤買假貨,Bought Counterfeit Goods,event,misfortune,Loss - Spirit stones
遭人勒索,遭人勒索,Was Extorted,event,misfortune,Loss - Spirit stones
洞府失窃,洞府失竊,Cave Dwelling Robbed,event,misfortune,Loss - Spirit stones
赌石惨败,賭石慘敗,Lost Stone Gambling,event,misfortune,Loss - Spirit stones
投资失败,投資失敗,Failed Investment,event,misfortune,Loss - Spirit stones
修炼岔气,修煉岔氣,Cultivation Deviation,event,misfortune,Injury - Qi went astray
出门摔伤,出門摔傷,Fell and Got Injured,event,misfortune,Injury
妖兽偷袭,妖獸偷襲,Ambushed by Beast,event,misfortune,Injury
仇家闷棍,仇家悶棍,Ambushed by Enemy,event,misfortune,Injury
误触机关,誤觸機關,Triggered Trap,event,misfortune,Injury
天降横祸,天降橫禍,Unexpected Disaster,event,misfortune,Injury
心魔滋生,心魔滋生,Heart Demon Arose,event,misfortune,Backlash
灵气逆行,靈氣逆行,Qi Reversal,event,misfortune,Backlash
感悟错乱,感悟錯亂,Confused Insight,event,misfortune,Backlash
急火攻心,急火攻心,Overcome by Rage,event,misfortune,Backlash
心魔,心魔,Heart Demon Tribulation,event,tribulation,Inner demon - self-doubt
雷劫,雷劫,Thunder Tribulation,event,tribulation,Heavenly lightning
肉身,肉身,Body Tribulation,event,tribulation,Physical transformation
寻仇,尋仇,Vengeance Tribulation,event,tribulation,Past enemies return
情劫,情劫,Emotion Tribulation,event,tribulation,Love/attachment trial
阳罡,陽罡,Yang Force Tribulation,event,tribulation,Scorching yang energy
雷火,雷火,Thunder-Fire Tribulation,event,tribulation,Combined lightning and fire
风灾,風災,Wind Disaster Tribulation,event,tribulation,Violent tempest
阴狱,陰獄,Yin Prison Tribulation,event,tribulation,Netherworld judgment
魔劫,魔劫,Demonic Tribulation,event,tribulation,Inner demons manifest
老死,老死,Died of Old Age,event,death,Lifespan exhausted
战死,戰死,Died in Battle,event,death,
重伤不治,重傷不治,Died from Severe Injuries,event,death,
平静,平靜,Calm,emotion,,
开心,開心,Happy,emotion,,
愤怒,憤怒,Angry,emotion,,
悲伤,悲傷,Sad,emotion,,
恐惧,恐懼,Fearful,emotion,,
惊讶,驚訝,Surprised,emotion,,
期待,期待,Expectant,emotion,,
厌恶,厭惡,Disgusted,emotion,,
疑惑,疑惑,Confused,emotion,,
疲惫,疲憊,Exhausted,emotion,,
系统菜单,系統選單,System Menu,ui,,
开始游戏,開始遊戲,Start Game,ui,,
加载游戏,載入遊戲,Load Game,ui,,
保存游戏,儲存遊戲,Save Game,ui,,
新建角色,新建角色,Create Character,ui,,
删除角色,刪除角色,Delete Character,ui,,
设置,設定,Settings,ui,,
其他,其他,Other,ui,,
境界,境界,Realm,ui,,
年龄,年齡,Age,ui,,
性别,性別,Gender,ui,,
男,男,Male,ui,,
女,女,Female,ui,,
宗门,宗門,Sect,ui,,
散修,散修,Rogue Cultivator,ui,,Independent - no sect
灵根,靈根,Spiritual Root,ui,,
灵石,靈石,Spirit Stones,ui,,
颜值,顏值,Appearance,ui,,
基础战力,基礎戰力,Base Combat Power,ui,,
情绪,情緒,Emotion,ui,,
当前思考,當前思考,Current Thoughts,ui,,
特质,特質,Traits,ui,,Also: Persona
功法与装备,功法與裝備,Techniques & Equipment,ui,,
长期目标,長期目標,Long-term Objective,ui,,
短期目标,短期目標,Short-term Objective,ui,,
设定目标,設定目標,Set Objective,ui,,
清空目标,清空目標,Clear Objective,ui,,
语言,語言,Language,ui,,
中文,中文,Chinese,ui,,
英文,英文,English,ui,,
